Province/State,Country/Region,,First confirmed date in country,Lat,Long,OK,1/21/2020 22:00,1/22/2020 12:00,1/23/2020 12:00,1/24/2020 0:00,1/24/2020 12:00,1/25/2020 0:00,1/25/2020 12:00,1/25/2020 22:00,1/26/2020 11:00,1/26/2020 23:00,1/27/2020 9:00,1/27/2020 19:00,1/27/2020 20:30,1/28/2020 13:00,1/28/2020 18:00,1/28/2020 23:00,1/29/2020 13:30,1/29/2020 14:30,1/29/2020 21:00,1/30/2020 11:00,1/31/2020 14:00,1/31/2020 19:00,2/1/2020 10:00,2/2/2020 21:00,2/3/2020 21:00
Henan,Mainland China,,1/3/2020,33.88202,113.614,OK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,3,3,3,14,14
Hubei,Mainland China,,1/3/2020,30.97564,112.2707,OK,25,28,28,31,31,32,32,42,42,44,45,45,47,52,80,80,80,88,90,90,141,169,168,295,386
Hunan,Mainland China,,1/3/2020,27.61041,111.7088,OK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,8,16,22
Inner Mongolia,Mainland China,,1/3/2020,44.09448,113.9456,OK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1
Jiangsu,Mainland China,,1/3/2020,32.97027,119.464,OK,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,6,7,8
Jiangxi,Mainland China,,1/3/2020,27.61401,115.7221,OK,0,0,0,0,0,0,0,0,0,0,1,2,2,3,3,3,3,3,4,5,7,7,9,18,18
Jilin,Mainland China,,1/3/2020,43.66657,126.1917,OK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
Liaoning,Mainland China,,1/3/2020,41.29284,122.6086,OK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
Ningxia,Mainland China,,1/3/2020,37.26923,106.1655,OK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
Qinghai,Mainland China,,1/3/2020,35.65945,96.02564,OK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shaanxi,Mainland China,,1/3/2020,35.19165,108.8701,OK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shandong,Mainland China,,1/3/2020,36.34377,118.1529,OK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,3,6,7
Shanghai,Mainland China,,1/3/2020,31.20327,121.4554,OK,0,0,0,0,1,1,1,1,1,1,3,3,3,4,4,4,4,5,5,5,9,9,10,10,10
Shanxi,Mainland China,,1/3/2020,37.57769,112.2922,OK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,3,2
Sichuan,Mainland China,,1/3/2020,30.61714,102.7103,OK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,3,12,14
Tianjin,Mainland China,,1/3/2020,39.29362,117.333,OK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Tibet,Mainland China,,1/3/2020,30.1534,88.7879,OK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Xinjiang,Mainland China,,1/3/2020,41.11981,85.17822,OK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yunnan,Mainland China,,1/3/2020,24.97411,101.4868,OK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,3,5
Zhejiang,Mainland China,,1/3/2020,29.18251,120.0985,OK,0,0,0,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,4,4,14,14,21,36,43
Hong Kong,Hong Kong,,1/23/2020,22.3193,114.1694,OK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Macau,Macau,,1/22/2020,22.1987,113.5439,OK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Taiwan,Taiwan,,1/21/2020,23.6978,120.9605,OK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Washington,US,,1/21/2020,47.7511,-120.74,OK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Illinois,US,,1/24/2020,40.6331,-89.3985,OK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
California,US,,1/26/2020,36.7783,-119.418,OK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arizona,US,,1/26/2020,34.0489,-111.094,OK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Japan,,1/16/2020,35.6762,139.6503,OK,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
,Thailand,,1/13/2020,13.7563,100.5018,OK,0,0,0,0,0,0,0,0,2,2,2,2,2,5,5,5,5,5,5,5,5,5,5,5,5
